School_Code,Total Logins,Unique Login Days,Avg Logins per Day,Cluster,PCA1,PCA2
ADARSHA8C9,7,7,1.0,1,-0.8796348103381616,0.0
ANGLOIN9D7,3,3,1.0,1,-1.3288100326384995,0.0
ARUNODAC2B,26,26,1.0,0,1.2539474955884429,0.0
ASHAKIR266,9,9,1.0,1,-0.6550471991879926,0.0
BHAGIRA36C,49,49,1.0,2,3.8367050238153855,0.0
DEEPASC69B,12,12,1.0,1,-0.31816578246273924,0.0
DIHINGVA4D,2,2,1.0,1,-1.441103838213584,0.0
FACULTY383,6,6,1.0,1,-0.991928615913246,0.0
HOLYCHIDE9,3,3,1.0,1,-1.3288100326384995,0.0
JAHANGI92F,29,29,1.0,0,1.5908289123136963,0.0
JNANAGA393,12,12,1.0,1,-0.31816578246273924,0.0
KVVIDYADDA,21,21,1.0,0,0.6924784677130209,0.0
KVVMPUB2D7,34,34,1.0,0,2.1522979401891185,0.0
LITTLEH288,5,5,1.0,1,-1.1042224214883305,0.0
MAYRAJE2BB,33,33,1.0,0,2.040004134614034,0.0
MODARKHD36,11,11,1.0,1,-0.4304595880378237,0.0
MUKUNDP348,50,50,1.0,2,3.9489988293904696,0.0
NANGLOI4B3,14,14,1.0,1,-0.09357817131257035,0.0
NAVEENMBB7,8,8,1.0,1,-0.7673410047630771,0.0
NEPAENG376,2,2,1.0,1,-1.441103838213584,0.0
NEWPUPIAEA,8,8,1.0,1,-0.7673410047630771,0.0
RAGHURAFD8,10,10,1.0,1,-0.5427533936129081,0.0
SMALLWO7E7,7,7,1.0,1,-0.8796348103381616,0.0
SMALLWO997,10,10,1.0,1,-0.5427533936129081,0.0
STMARYS9D9,11,11,1.0,1,-0.4304595880378237,0.0
STRITAS698,8,8,1.0,1,-0.7673410047630771,0.0
SUNFLOW9E3,13,13,1.0,1,-0.20587197688765482,0.0
TAKPUBLFB3,7,7,1.0,1,-0.8796348103381616,0.0
THEINDI47F,13,13,1.0,1,-0.20587197688765482,0.0
TWINKLEBBF,22,22,1.0,0,0.8047722732881053,0.0
